Season Number,Startup Name,Episode Number,Industry,Company Website,Started in,Number of Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Gross Margin in %,Net Margin,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Offered Equity,Received Offer,deal outcome,equity given (%),Total Deal Debt(in lakhs),Debt Interest,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,original ask amount in Cr.,valuation requested in Cr.,Total deal amount in Cr.,Deal valuation in Cr.,Deal status,Yearly revenue in Cr.,Monthy sales in Cr.,Revenue Type,Male Presenters,Female Presenters,Transgender Presenters
1,Heartupmysleeves,1,Beauty/Fashion,https://heartupmysleeves.com/,2021,1,0,Young,Delhi,Delhi,,,No,,No,funded,No,10,1,Accepted,30,0,0,2,No,No,0,0.25,2.5,0.25,0.83,deal made,,0.02,Monthly Only,0,1,0
1,Revampmoto,5,Vehicles/Electrical Vehicles,https://www.revampmoto.in/,2021,3,0,Young,Nashik,Maharashtra,,,No,,No,funded,No,1,1,Accepted,1.5,0,0,2,No,No,0,1,100,1,66.67,deal made,,0.0001,Monthly Only,3,0,0
1,Skippiicepops,6,Food,https://skippi.in/,2021,2,1,Middle,Hyderabad,Telangana,,,No,,yes,funded,No,5,1,Accepted,15,0,0,5,No,No,0,0.45,9,1,6.67,deal made,,0.075,Monthly Only,1,1,0
1,Kavach,7,Education,https://antibullyingsquad.com/,2018,2,0,Young,Gurgaon,Haryana,,,No,,No,funded,No,10,1,Accepted,10,0,0,2,No,No,0,0.05,0.5,0.05,0.5,deal made,,,No Data,1,1,0
1,Altor,9,Manufacturing,https://www.altorsmarthelmet.com/,2019,4,0,Young,Kolkata,West Bengal,,,No,,No,funded,No,5,1,Accepted,7,0,0,2,No,No,0,0.5,10,0.5,7.14,deal made,,,No Data,4,0,0
1,Sweedesi,12,Food,https://www.sweedesi.com/,2018,2,1,Middle,Pune,Maharashtra,,,No,,No,funded,No,3,0,No Offer,0,0,0,0,No,No,0,0.4,13.33,0,0,no deal,,,No Data,1,1,0
1,Loka,12,Technology/Software,https://www.lokaworld.app/,2020,1,0,Young,Delhi,Delhi,,,No,,No,funded,No,5,1,Accepted,24,0,0,3,No,No,0,0.4,8,0.4,1.67,deal made,,,No Data,1,0,0
1,Carragreen,13,Manufacturing,https://carragreen.com/,2018,2,0,Middle,Indore,Madhya Pradesh,,,No,,yes,funded,No,10,1,Accepted,20,0,0,2,No,No,0,0.5,5,0.5,2.5,deal made,,,No Data,0,2,0
1,Morrikopurefoods,14,Food,https://morrikopurefoods.com/,2018,3,0,Middle,Valsad,Gujarat,,,No,,No,funded,No,3,1,Rejected,0,0,0,0,No,No,0,1,33.33,0,0,no deal,,0.16,Monthly Only,2,1,0
1,Flyingfur,16,Animal/Pets,https://flyingfur.in/,2016,3,0,Middle,Delhi,Delhi,,,No,,No,funded,No,7,0,No Offer,0,0,0,0,No,No,0,0.75,10.71,0,0,no deal,,,No Data,2,1,0
1,Beyondwater,16,Food,https://drinkbeyond.co.in/,2020,2,0,Young,Kolkata,West Bengal,,,No,,No,funded,No,4,1,Accepted,15,0,0,2,No,No,0,0.75,18.75,0.75,5,deal made,,0.1,Monthly Only,1,1,0
1,Findyourkicksindia,17,Beauty/Fashion,https://findyourkicksindia.co/,2021,3,0,Young,Ludhiana,Punjab,,,No,,No,funded,No,10,1,Accepted,25,0,0,5,No,No,0,0.5,5,0.5,2,deal made,,0.035,Monthly Only,3,0,0
1,Magiclock,19,Hardware,http://www.magiclockdc.com/,2019,3,0,Middle,Mumbai,Maharashtra,,,No,,yes,funded,No,8,0,No Offer,0,0,0,0,No,No,0,1.2,15,0,0,no deal,,0.0004,Monthly Only,3,0,0
